AS,IPv4_Num
AS32537,69632
AS14744,69376
AS33438,69376
AS5693,69376
AS8255,69376
AS11915,69120
AS12182,69120
AS32035,68864
AS51164,68864
AS31400,68608
AS16245,68352
AS38186,68352
AS7332,68352
AS204384,68096
AS24679,67840
AS34011,67840
AS11282,67584
AS46003,67584
AS9183,67584
AS12859,67328
AS134540,67328
AS199610,67328
AS394990,67328
AS7296,67328
AS36444,67072
AS58851,67072
AS63410,67072
AS201776,66816
AS3599,66816
AS24218,66560
AS397630,66560
AS44050,66560
AS4544,66560
AS36236,66304
AS10929,66048
AS1770,66048
AS6481,66048
AS133199,65792
AS142286,65792
AS2012,65792
AS43350,65792
AS5071,65792
AS6949,65792
AS10733,65536
AS139190,65536
AS211817,65536
AS3748,65536
AS400463,65536
AS48031,65536
AS5656,65536
AS4455,65280
AS48918,65280
AS134078,64768
AS202422,64768
AS396356,64768
AS58879,64768
AS57370,64512
AS35048,64256
AS39572,64256
AS4770,64256
AS40244,64000
AS42926,64000
AS3064,63744
AS59037,63744
AS137409,63488
AS10912,62720
AS133499,62720
AS45187,62720
AS21155,62464
AS22356,62464
AS30236,62464
AS33544,62208
AS49063,62208
AS58791,61952
AS397423,61696
AS12676,61440
AS32181,61440
AS64286,61440
AS21499,61184
AS23158,61184
AS396362,61184
AS4776,61184
AS5626,61184
AS394695,60928
AS63956,60928
AS11403,60672
AS26464,60672
AS51561,60672
AS11014,60416
AS12180,60416
AS12310,60160
AS14103,60160
AS22611,60160
AS22653,60160
AS50463,60160
AS7784,60160
AS33387,59392
AS14742,59136
AS15085,59136
AS19237,59136
AS42,59136
AS17806,58880
AS24971,58880
AS40509,58880
AS13273,58624
AS21409,58624
AS27553,58368
AS35415,58368
AS36086,58368
AS204601,58112
AS3233,57600
AS3801,57600
AS23338,57344
AS8262,57344
AS131178,57088
AS7393,57088
AS13243,56832
AS38880,56576
AS11989,56320
AS19148,56320
AS35425,56320
AS13415,56064
AS23637,56064
AS60294,56064
AS26548,55808
AS44489,55808
AS50624,55808
AS8893,55808
AS9150,55808
AS9891,55808
AS15440,55552
AS55423,55552
AS55470,55552
AS6428,55552
AS7828,54784
AS29222,54528
AS2707,54272
AS12570,54016
AS10962,53760
AS11342,53760
AS397373,53760
AS17231,53504
AS15533,53248
AS262191,53248
AS6663,53248
AS202053,52736
AS29944,52736
AS43341,52736
AS10913,52480
AS14127,52480
AS19531,52480
AS47902,52480
AS17675,52224
AS3330,52224
AS59253,52224
AS18068,51968
AS2635,51968
AS6134,51968
AS19009,51712
AS31673,51712
AS43260,51712
AS63888,51712
AS13414,51456
AS20495,51456
AS27501,51456
AS19373,51200
AS198068,51200
AS39134,51200
AS18501,50944
AS201942,50944
AS1219,50688
AS20847,50688
AS44716,50688
AS3245,50432
AS35470,50432
AS36492,50432
AS53667,50432
AS8823,50432
AS30602,50176
AS58931,50176
AS8677,50176
AS27229,49920
AS9260,49920
AS6372,49664
AS28209,49408
AS28716,49408
AS29468,49408
AS15987,49152
AS2734,49152
AS30237,49152
AS8419,49152
AS41095,48640
AS14701,48128
AS15576,48128
AS40913,48128
AS17469,47872
AS21886,47872
AS31863,47872
AS19893,47616
AS39545,47616
AS17971,47360
AS19024,47360
AS34224,47360
AS42695,47360
AS45352,47360
AS7195,47360
AS8218,47360
AS41564,47104
AS17232,46848
AS45012,46848
AS48095,46848
AS51088,46848
AS16406,46592
AS31708,46592
AS32329,46592
AS6640,46592
AS9244,46592
AS12886,46336
AS23136,46336
AS29551,46336
AS6597,46336
AS14576,46080
AS24806,46080
AS25549,46080
AS62874,46080
AS7654,46080
AS10204,45824
AS49788,45824
AS12779,45568
AS24429,45568
AS400754,45568
AS48173,45568
AS10099,45312
AS19905,45312
AS24958,45312
AS48287,45312
AS5048,45312
AS134963,45056
AS48854,45056
AS7151,45056
AS24319,44800
AS3842,44800
AS21554,44544
AS29686,44544
AS5033,44544
AS22011,44288
AS9230,44288
AS15083,44032
AS29789,44032
AS48096,44032
AS8520,44032
AS25532,43776
AS30447,43776
AS11994,43520
AS21473,43520
AS22302,43520
AS23853,43520
AS28952,43520
AS34164,43520
AS56876,43520
AS12179,43008
AS12306,43008
AS38136,43008
AS45058,43008
AS51043,43008
AS22418,42752
AS31477,42752
AS56300,42752
AS21267,42496
AS29226,42496
AS399610,42496
AS8622,42496
AS31103,42240
AS31798,41984
AS4723,41984
AS17589,41728
AS27446,41728
AS7468,41728
AS17161,41472
AS24295,41472
AS29968,41472
AS50304,41472
AS200000,41216
AS23033,41216
AS12213,40960
AS16700,40960
AS17227,40960
AS34920,40960
AS54203,40960
AS54467,40960
AS17225,40704
AS16095,40448
AS30277,40448
AS8784,40448
AS140627,40192
AS25459,40192
AS212531,39936
AS55900,39936
AS27325,39680
AS44559,39680
AS7676,39680
AS138968,39424
AS15153,39424
AS17918,39424
AS208677,39424
AS29990,39424
